timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,event_detected
2012-07-01T00:00:00,New Asgard,Vibranium (kg),2496.77,3.5,False
2012-07-01T00:00:00,New Asgard,Arc Reactor Cores,797.01,4.2,False
2012-07-01T00:00:00,New Asgard,Pym Particles,796.95,3.85,False
2012-07-01T00:00:00,New Asgard,Clean Water (L),2496.49,4.2,False
2012-07-01T00:00:00,New Asgard,Medical Kits,799.16,3.15,False
2012-07-01T00:00:00,Wakanda,Vibranium (kg),2497.92,3.5,False
2012-07-01T00:00:00,Wakanda,Arc Reactor Cores,795.51,4.2,False
2012-07-01T00:00:00,Wakanda,Pym Particles,797.18,3.85,False
2012-07-01T00:00:00,Wakanda,Clean Water (L),2495.46,4.2,False
2012-07-01T00:00:00,Wakanda,Medical Kits,799.17,3.15,False
2012-07-01T00:00:00,Sokovia,Vibranium (kg),2497.34,3.5,False
2012-07-01T00:00:00,Sokovia,Arc Reactor Cores,795.55,4.2,False
2012-07-01T00:00:00,Sokovia,Pym Particles,797.92,3.85,False
2012-07-01T00:00:00,Sokovia,Clean Water (L),2495.34,4.2,False
2012-07-01T00:00:00,Sokovia,Medical Kits,797.74,3.15,False
2012-07-01T00:00:00,Sanctum Sanctorum,Vibranium (kg),2498.26,3.5,False
2012-07-01T00:00:00,Sanctum Sanctorum,Arc Reactor Cores,796.85,4.2,False
2012-07-01T00:00:00,Sanctum Sanctorum,Pym Particles,797.64,3.85,False
2012-07-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2497.47,4.2,False
2012-07-01T00:00:00,Sanctum Sanctorum,Medical Kits,797.53,3.15,False
2012-07-01T00:00:00,Avengers Compound,Vibranium (kg),2496.49,3.5,False
2012-07-01T00:00:00,Avengers Compound,Arc Reactor Cores,797.54,4.2,False
2012-07-01T00:00:00,Avengers Compound,Pym Particles,798.2,3.85,False
2012-07-01T00:00:00,Avengers Compound,Clean Water (L),2497.67,4.2,False
2012-07-01T00:00:00,Avengers Compound,Medical Kits,798.57,3.15,False
2012-07-01T01:00:00,New Asgard,Vibranium (kg),2494.7,3.55,False
2012-07-01T01:00:00,New Asgard,Arc Reactor Cores,792.82,4.26,False
2012-07-01T01:00:00,New Asgard,Pym Particles,794.52,3.91,False
2012-07-01T01:00:00,New Asgard,Clean Water (L),2493.7,4.26,False
2012-07-01T01:00:00,New Asgard,Medical Kits,796.49,3.2,False
2012-07-01T01:00:00,Wakanda,Vibranium (kg),2494.49,3.55,False
2012-07-01T01:00:00,Wakanda,Arc Reactor Cores,792.11,4.26,False
2012-07-01T01:00:00,Wakanda,Pym Particles,794.43,3.91,False
2012-07-01T01:00:00,Wakanda,Clean Water (L),2492.43,4.26,False
2012-07-01T01:00:00,Wakanda,Medical Kits,797.4,3.2,False
2012-07-01T01:00:00,Sokovia,Vibranium (kg),2495.13,3.55,False
2012-07-01T01:00:00,Sokovia,Arc Reactor Cores,792.52,4.26,False
2012-07-01T01:00:00,Sokovia,Pym Particles,795.85,3.91,False
2012-07-01T01:00:00,Sokovia,Clean Water (L),2493.09,4.26,False
2012-07-01T01:00:00,Sokovia,Medical Kits,796.04,3.2,False
2012-07-01T01:00:00,Sanctum Sanctorum,Vibranium (kg),2495.87,3.55,False
2012-07-01T01:00:00,Sanctum Sanctorum,Arc Reactor Cores,792.68,4.26,False
2012-07-01T01:00:00,Sanctum Sanctorum,Pym Particles,793.92,3.91,False
2012-07-01T01:00:00,Sanctum Sanctorum,Clean Water (L),2494.03,4.26,False
2012-07-01T01:00:00,Sanctum Sanctorum,Medical Kits,795.26,3.2,False
2012-07-01T01:00:00,Avengers Compound,Vibranium (kg),2494.38,3.55,False
2012-07-01T01:00:00,Avengers Compound,Arc Reactor Cores,794.22,4.26,False
2012-07-01T01:00:00,Avengers Compound,Pym Particles,796.04,3.91,False
2012-07-01T01:00:00,Avengers Compound,Clean Water (L),2494.87,4.26,False
2012-07-01T01:00:00,Avengers Compound,Medical Kits,795.24,3.2,False
2012-07-01T02:00:00,New Asgard,Vibranium (kg),2491.69,3.7,False
2012-07-01T02:00:00,New Asgard,Arc Reactor Cores,791.1,4.44,False
2012-07-01T02:00:00,New Asgard,Pym Particles,791.91,4.07,False
2012-07-01T02:00:00,New Asgard,Clean Water (L),2490.24,4.44,False
2012-07-01T02:00:00,New Asgard,Medical Kits,794.93,3.33,False
2012-07-01T02:00:00,Wakanda,Vibranium (kg),2492.56,3.7,False
2012-07-01T02:00:00,Wakanda,Arc Reactor Cores,788.39,4.44,False
2012-07-01T02:00:00,Wakanda,Pym Particles,791.94,4.07,False
2012-07-01T02:00:00,Wakanda,Clean Water (L),2490.26,4.44,False
2012-07-01T02:00:00,Wakanda,Medical Kits,796.34,3.33,False
2012-07-01T02:00:00,Sokovia,Vibranium (kg),2492.86,3.7,False
2012-07-01T02:00:00,Sokovia,Arc Reactor Cores,789.76,4.44,False
2012-07-01T02:00:00,Sokovia,Pym Particles,792.9,4.07,False
2012-07-01T02:00:00,Sokovia,Clean Water (L),2491.51,4.44,False
2012-07-01T02:00:00,Sokovia,Medical Kits,794.11,3.33,False
2012-07-01T02:00:00,Sanctum Sanctorum,Vibranium (kg),2493.25,3.7,False
2012-07-01T02:00:00,Sanctum Sanctorum,Arc Reactor Cores,787.83,4.44,False
2012-07-01T02:00:00,Sanctum Sanctorum,Pym Particles,790.41,4.07,False
2012-07-01T02:00:00,Sanctum Sanctorum,Clean Water (L),2491.14,4.44,False
2012-07-01T02:00:00,Sanctum Sanctorum,Medical Kits,793.56,3.33,False
2012-07-01T02:00:00,Avengers Compound,Vibranium (kg),2492.49,3.7,False
2012-07-01T02:00:00,Avengers Compound,Arc Reactor Cores,790.94,4.44,False
